Country,Year,Access to electricity (% of population),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Control of Corruption: Percentile Rank,"Foreign direct investment, net inflows (% of GDP)",Forest area (% of land area),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Gini index,High-technology exports (% of manufactured exports),Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, infant (per 1,000 live births)",People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Political Stability and Absence of Violence/Terrorism: Estimate,Population growth (annual %),"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Regulatory Quality: Estimate,Renewable energy consumption (% of total final energy consumption),Research and development expenditure (% of GDP),Rule of Law: Estimate,"School enrollment, primary (% gross)",Trade (% of GDP),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population),Voice and Accountability: Estimate
Afghanistan,2000,4.4,0.054812515,4.787233829,0.004827601,1.852781994,3521418060,0,180.1883694,0,0,0,0,55.298,0,92,27.44185609,20.97091936,64.76727982,-2.438968897,1.443803024,19542982,0,-2.080252647,45,0,-1.780660748,22.16299057,0,7.955,22.078,-2.031417131
Afghanistan,2001,9.3,0.050196479,0,0.024168568,1.852781994,2813571754,-9.431974068,142.9033644,0,0,0.00472257,0,55.798,0,89.3,27.47358023,20.98234866,64.59757272,0,0.742516834,19688632,0,0,45.6,0,0,22.90859032,0,7.958,22.169,0
Afghanistan,2002,14.1,0.046328007,4.761904716,1.30694987,1.852781994,3825701439,28.60000116,182.1740382,0,0,0.0045614,0,56.454,0,86.6,29.67486273,22.54133877,64.41688801,-2.035033703,6.449321478,21000256,0,-1.81154573,37.8,0,-1.673473239,75.95974731,0,7.939,22.261,-1.433421016
Afghanistan,2003,19,0.04675619,4.761904716,1.278493252,1.852781994,4520946819,8.832277803,199.6432265,0,0,0.0878913,0,57.344,0,83.7,31.87558916,24.10033283,64.17623142,-2.198372364,7.541018965,22645130,0,-1.463107824,36.7,0,-1.5582937,96.55368042,0,7.922,22.353,-1.177571177
Afghanistan,2004,23.8,0.039875091,6.403940678,3.577104201,1.852781994,5224896719,1.414117993,221.8305307,0,0,0.105809,0,57.944,0,80.9,34.09443129,25.66623994,63.82660868,-2.295682192,3.933177688,23553551,0,-1.511548996,44.2,0,-1.693925261,106.2526627,0,7.914,22.5,-1.203033924
Afghanistan,2005,28.7,0.054638874,1.463414669,4.368673104,1.852781994,6203256539,11.22971483,254.115276,0,0,1.22415,12.68626872,58.361,0,78,36.33122612,27.23918874,63.31902553,-2.06750989,3.576508004,24411191,0,-1.643440247,33.9,0,-1.662965536,100.2296906,0,7.914,22.703,-1.12542963
Afghanistan,2006,33.5,0.05806718,1.951219559,3.413772973,1.852781994,6971758282,5.357403247,274.0153923,0,0,2.10712,6.78459655,58.684,0,75.1,38.56711933,28.81226623,61.51464943,-2.219134569,4.139678035,25442944,0,-1.689468622,31.9,0,-1.879004836,103.9322433,0,7.918,22.907,-1.110293984
Afghanistan,2007,38.4,0.079665522,0.970873773,1.935701714,1.852781994,9747886187,13.82631955,376.3182996,0,0,1.9,8.680570785,59.111,0,72.3,41.0836739,30.46653361,58.08378502,-2.41337347,1.793195727,25903301,0,-1.708872318,28.8,0,-1.852560043,101.0864563,0,7.908,23.113,-1.057653904
Afghanistan,2008,42.4,0.15247927,0.485436887,0.455360445,1.852781994,10109297048,3.92498382,382.5338072,0,0,1.84,26.41866415,59.852,0,69.6,43.63260872,32.12870461,54.19114381,-2.69136095,2.002333262,26427199,0,-1.607166886,21.2,0,-1.903307557,103.4139633,0,7.92,23.32,-1.168901801
Afghanistan,2009,48.3,0.236856939,0.95693779,0.451889146,1.852781994,12416152732,21.39052839,453.3873851,0,0,3.55,-6.811161089,60.364,0,67,46.21376265,33.79895774,51.00143731,-2.71142149,3.561288374,27385307,0,-1.664507627,16.5,0,-1.876118779,99.36972046,0,7.914,23.528,-1.375495195
Afghanistan,2010,42.7,0.286853284,0.952380955,1.20311799,1.852781994,15856668556,14.36244147,562.4992216,0,0,4,2.178537524,60.851,0,64.6,48.82696852,35.47747099,49.67937703,-2.579151869,2.894904104,28189672,0,-1.516528249,15.2,0,-1.87005806,102.9034424,0,7.914,23.737,-1.404467344
Afghanistan,2011,43.2,0.403450944,0.473933637,0.29302518,1.852781994,17805098206,0.426354777,608.7388504,0,0,5,11.80418581,61.419,31,62.3,51.47237647,37.16457222,61.81705591,-2.502059698,3.689508302,29249157,0,-1.536323905,12.6,0,-1.922500134,100.2902985,0,7.916,23.948,-1.335976958
Afghanistan,2012,69.1,0.334026128,1.421800971,0.285440894,1.852781994,19907329778,12.75228709,653.4174749,0,0,5.45455,6.441212809,61.923,0,60.1,54.14949164,38.86030503,70.92231651,-2.418561459,4.077627729,30466479,0,-1.192579746,15.4,0,-1.651893139,106.2834015,0,7.909,24.16,-1.267430067
Afghanistan,2013,68,0.275547459,0.947867274,0.239801184,1.852781994,20146416758,5.600744659,638.733181,0,0,5.9,7.385771784,62.417,0,58.1,56.85814159,40.56485238,73.1318159,-2.519349098,3.466788304,31541209,0,-1.1930902,16.9,0,-1.609111547,107.6959763,0,7.919,24.373,-1.240068436
Afghanistan,2014,89.5,0.25307638,5.288461685,0.209664795,1.852781994,20497128556,2.724543362,626.5129291,0,0,7,4.673996035,62.545,0,56.2,59.59815817,42.27840265,77.14372755,-2.411068439,3.657576065,32716210,0,-1.124133706,19.1,0,-1.437044501,109.1155167,0,7.915,24.587,-1.135439992
Afghanistan,2015,71.5,0.258331736,5.714285851,0.884000463,1.852781994,19134221645,1.451314661,566.8811297,0,0,8.26,-0.661709165,62.659,33.7538414,54.6,62.36965956,44.00130864,73.49081763,-2.56262517,3.121341229,33753499,0,-1.018826246,17.7,0,-1.515202641,106.1824188,0,9.011,24.803,-1.117556691
Afghanistan,2016,97.7,0.229161929,3.809523821,0.516606085,1.852781994,18116572395,2.260314203,523.053012,0,0,11,4.383891955,63.136,0,53,65.17216226,45.73360216,72.76591014,-2.662156105,2.581549399,34636207,0,-1.339695096,20.2,0,-1.520713925,106.1502838,0,10.1,25.02,-1.037788033
Afghanistan,2017,97.7,0.239789012,3.809523821,0.274796792,1.852781994,18753456498,2.647003203,526.140801,0,0,13.5,4.975951506,63.016,0,51.5,68.00887159,47.4776158,65.862347,-2.794973612,2.866492148,35643418,0,-1.369762778,19.5,0,-1.583736897,106.1299973,0,11.184,25.25,-0.990814269
Afghanistan,2018,93.4,0.221575704,4.761904716,0.661572218,1.852781994,18053222687,1.189228129,492.090631,0,0,16.8,0.626149149,63.081,0,50.1,70.87994089,49.23414442,67.22717748,-2.753262043,2.885207973,36686784,0,-1.138203621,18.3,0,-1.688586712,107.7805328,0,11.206,25.495,-1.007052064
Afghanistan,2019,97.7,0.197193508,5.714285851,0.124495985,1.852781994,18799444490,3.911603416,497.7414313,0,0,17.6,2.302372515,63.565,0,48.8,73.784643,51.00348109,58.33087223,-2.652406931,2.908529093,37769499,0,-1.113777995,18.9,0,-1.741318822,110.0075073,0,11.224,25.754,-1.006574869
Afghanistan,2020,97.7,0.140322994,4.761904716,0.064993957,1.852781994,19955929052,-2.351100672,512.055098,0,0,18.4,0,62.575,0,47.4,76.7222554,52.64900094,46.08709367,-2.702631712,3.134746908,38972230,0,-1.389163017,18.2,0,-1.831374288,0,46.70989455,11.71,26.026,-1.077688575
Afghanistan,2021,97.7,0.140630316,12.38095284,0.144401085,1.852781994,14266499430,-20.73883937,355.7778264,0,0,0,0,61.982,37,46.1,79.69307846,54.29858974,0,-2.518530369,2.851357654,40099462,0,-1.311682105,20,0,-1.87635684,0,51.41171637,11.934,26.314,-1.567889929
Afghanistan,2022,85.3,0.13800072,12.26415062,0,0,14502158192,-6.240171992,352.6037331,0,0,0,0,62.879,0,44.8,82.17537112,55.95194129,0,-2.550801754,2.534498317,41128771,0,-1.27180624,20,0,-1.658442259,0,72.88546961,14.1,26.616,-1.751587272
Afghanistan,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.665628202,42239854,0,0,0,0,0,0,0,14.386,26.933,0
Bhutan,2000,31.2,0.719678069,71.27659607,0,65.47738693,460733418.4,3.355068305,784.6184027,0,0,0.400944,4.012120811,62.01,0,58.4,82.36160234,46.90494201,32.57384036,0.491936684,2.800570184,587207,0,-0.428554446,91.4,0,0.130426154,80.78762817,74.02649711,1.652,25.418,-1.112356544
Bhutan,2001,40.2,0.752278552,0,0,65.7268593,496110225.7,7.328374452,822.4175456,0,0,0.864629,3.414789461,63.444,0,55.6,83.46728539,47.26014571,32.91600699,0,2.692778294,603234,0,0,90.2,0,0,82.15339661,71.09457473,1.9,26.48,0
Bhutan,2002,44.1,0.791699513,70.89946747,0.4336159,65.97633166,559345263.7,10.44377954,903.5571776,0,0,1.6758,2.455357143,64.078,0,52.7,84.61995697,49.15474215,33.34418245,0.693675578,2.587763295,619048,0,-0.50857091,89.7,0,0.069401726,83.75219727,70.2833172,1.851,27.57,-1.290270805
Bhutan,2003,41.1,0.796058157,82.01058197,0.516969909,66.22580402,651935430.3,7.786560536,1027.273391,40.9,0,2.43691,2.572308617,64.696,0,49.9,85.7539271,51.01652707,33.75126304,0.918948591,2.485461063,634627,13.4,-0.04871612,89.7,0,0.136125684,86.24712372,72.84990066,1.8,28.688,-1.146781921
Bhutan,2004,51.9,0.788626304,80.78817749,1.204858664,69.41039431,735348490.4,5.157257256,1131.321034,0,0,3.15698,4.105936983,65.268,0,47.1,86.86839087,52.8441983,34.03014503,1.172050357,2.392109191,649991,0,-0.915191174,90.9,0,0.223591417,89.68125916,89.0605518,2.49,29.835,-0.965037107
Bhutan,2005,59.8,0.838656281,79.02439117,0.721867151,69.67088176,860391000.2,6.935071466,1297.092066,0,0,3.84711,5.312631046,65.805,53,44.4,87.95675999,54.62419308,34.07372473,1.284487367,2.03035344,663323,0,-0.286168545,88.7,0,0.332806766,92.76241302,97.74341354,3.1,30.965,-1.072155476
Bhutan,2006,59.7,0.837417937,77.56097412,0.649361842,69.93136921,942879878.5,5.640805265,1400.469178,0,0,4.51832,5.00045438,66.362,0,41.7,88.97896447,56.26958234,33.14962238,1.264518976,1.486953387,673260,0,-0.577596843,91.6,0,0.21245949,97.14897156,108.1577949,3.13,31.712,-1.058763504
Bhutan,2007,71.8,0.846813592,78.1553421,5.881322974,70.19185665,1255767964,16.10478365,1842.344735,38.1,0.751439729,5.92,5.156111388,66.954,0,39.3,89.98677222,57.88900697,31.1047419,0.568526506,1.233193031,681614,5.9,-0.70974499,92,0,0.36783278,101.165947,106.9290224,3.7,32.469,-0.872591913
Bhutan,2008,67.6,0.882365307,78.64077759,0.238630623,70.4523441,1317517835,4.529448692,1910.174218,0,0.126757285,6.55,8.327160494,67.499,0,36.9,90.97982582,59.48189388,28.70090506,0.720669389,1.18468503,689737,0,-0.765467465,87.8,0,0.421698183,104.5938492,101.9542357,3.833,33.236,-0.505405188
Bhutan,2009,71.5,1.192097214,79.42583466,1.374529048,70.71283154,1331343798,7.667492403,1908.249648,0,0.215969979,7.17,4.361122191,67.897,0,34.6,91.95755308,61.06873095,26.69993366,0.803496659,1.144731276,697678,0,-1.071835279,87.8,0,0.219097927,109.0328064,101.5594116,3.96,34.01,-0.461808324
Bhutan,2010,73.3,1.309254503,79.52381134,4.498094807,70.97331899,1673464261,11.9318739,2371.97209,0,0.13731061,13.6,7.036383161,68.43,0,32.6,92.91982976,62.62895809,25.86364946,0.742221653,1.117177172,705516,0,-1.158943653,84.8,0,0.161859259,111.8249588,107.2326853,3.32,34.793,-0.416917324
Bhutan,2011,81.8,1.569958406,77.25118256,1.60652866,71.02521185,1938441289,8.307647832,2717.449948,0,8.75611e-05,14.4,8.848985699,68.881,0,30.7,93.86634017,64.1622239,30.4700767,0.826495349,1.101609833,713331,0,-1.154204845,84.9,0,0.205665544,113.1725693,104.8791194,3.23,35.585,-0.404029369
Bhutan,2012,91.5,1.487356912,79.14691925,1.256910244,71.0771047,1939730676,5.095492644,2689.792866,38.8,0.02303265,15.6,10.91965694,69.326,55,29.1,94.79608007,65.6661457,38.13157147,0.77630949,1.089467832,721145,1.7,-1.093008518,82.8,0,0.260953724,112.4175186,95.67614659,2.05,36.371,-0.280920058
Bhutan,2013,87.4,1.540975375,79.14691925,1.068055187,71.12899756,1913162477,1.658455578,2624.765194,0,0,22.4,8.776383453,69.707,0,27.8,95.70915284,67.14088799,37.41624372,0.784624875,1.068123041,728889,0,-1.086755395,81.7,0,0.317648262,106.1411972,96.56917811,2.87,37.149,-0.158783659
Bhutan,2014,91.4,1.562149881,88.46154022,1.143954629,71.18089042,2057330873,5.717865612,2793.931303,0,0,30.3,8.271060939,70.049,0,26.6,96.60577774,68.58685065,40.29815305,1.068038583,1.019359843,736357,0,-1.014745593,82.1,0,0.417663902,104.0050278,89.29107372,2.63,37.918,-0.1029386
Bhutan,2015,95.4,1.797856511,80.95237732,0.299359179,71.23278327,2154921011,6.568454317,2899.228294,0,0,39.8,4.548143951,70.343,0,25.5,97.48622327,70.00457822,37.48569113,0.960772634,0.93496965,743274,0,-0.735030413,81.6,0,0.534968972,102.4833566,91.00755302,2.45,38.678,-0.034806281
Bhutan,2016,99.3,1.942485672,81.42857361,0.511646198,71.23427013,2322730512,8.400553755,3097.961234,0,0,46.5,3.219886894,70.602,0,24.6,98.18623888,71.39454115,36.94161228,1.106088281,0.868973711,749761,0,-0.691017687,80.8,0,0.509927452,100.9430695,77.52795554,2.737,39.428,-0.025891906
Bhutan,2017,97.7,2.100192959,90.95237732,-0.638806341,71.28617869,2591358115,3.507567403,3427.173845,37.4,0,54.3,4.95508367,70.847,67,23.6,98.65984174,72.75728816,33.81151504,1.102793097,0.84469272,756121,0.9,-0.339257926,79.7,0,0.63007921,99.73843335,76.78839772,3.039,40.167,0.010954513
Bhutan,2018,100,2.39996011,91.42857361,0.102559427,71.34556896,2583335723,3.501871857,3389.777303,0,0,63.5,2.723963862,71.129,0,22.9,98.7649965,74.09344932,34.08388194,1.077452898,0.787111572,762096,0,-0.376959831,80,0,0.548555255,99.28786575,79.73972102,3.35,40.895,0.042394046
Bhutan,2019,100,2.609129608,91.42857361,0.47561707,71.39748296,2735683409,5.755148512,3564.598771,0,0,74.1794,2.726430374,71.391,0,22.1,98.87231224,75.40367028,30.05189776,1.065351009,0.701252584,767459,0,-0.359623849,81,0,0.584862649,97.96216381,76.12351742,2.72,41.612,0.073989496
Bhutan,2020,100,1.998948875,93.33333588,-0.113401542,71.44939696,2457604042,-10.21839742,3181.339747,0,0,76.8508,5.629365226,71.609,0,21.4,98.98171763,76.68856434,23.94565764,1.013411403,0.655471789,772506,0,-0.330750853,83.9,0,0.579251528,103.8008312,71.83035577,5.03,42.316,0.151467398
Bhutan,2021,100,2.182804578,90.47618866,0.244983589,71.50131096,2768802803,4.421367389,3561.225287,0,0,85.6369,7.346814405,71.815,0,20.7,99.12699463,77.94885785,0,0.797127724,0.642586173,777486,0,-0.405656159,81.8,0,0.604691029,103.0328842,77.58245145,4.804,43.008,0.219684556
Bhutan,2022,100,2.188496463,90.09433746,0.289904658,0,2898227713,5.213867838,3704.018395,28.5,0,86.8403,5.639166714,72.229,72.09999847,20.1,99.1314463,77.94007424,0,0.864817739,0.637077531,782455,0,-0.381970435,82.5,0,0.672034562,106.0821274,85.93016917,5.947,43.686,0.155555993
Bhutan,2023,0,0,0,0,0,0,0,0,0,0,0,4.229344199,0,0,0,0,0,0,0,0.633044533,787424,0,0,0,0,0,0,0,5.653,44.35,0
Bangladesh,2000,32,0.205050064,6.914893627,0.525362089,14.75246293,53369787319,5.293294719,413.1001853,33.4,0,0.0710394,2.208256209,65.779,0,63,94.81892121,24.51319035,53.20733159,-0.726261258,1.905524049,129193327,33.3,-0.941208124,60.2,0,-0.991129994,0,29.32171436,3.27,23.59,-0.227924496
Bangladesh,2001,35,0.24364686,0,0.145443905,14.72789045,53991289844,5.077287775,410.0485409,0,0,0.129808,2.007173742,66.135,47,59.9,94.99368594,26.07059753,53.53715577,0,1.899252681,131670484,0,0,55.9,0,0,0,32.09801707,3.614,24.096,0
Bangladesh,2002,37.8,0.251713462,1.587301612,0.095579368,14.70331797,54724081491,3.83312394,407.9629676,0,0,0.13992,3.332564933,66.612,0,57,95.17376963,27.6554494,53.99898917,-1.032590389,1.85802653,134139826,0,-1.055441499,54.4,0,-0.991601229,0,28.96738072,3.967,24.756,-0.432220519
Bangladesh,2003,40.5,0.259061315,0.529100537,0.445960783,14.67874549,60158929188,4.7395674,440.7144048,0,0,0.163878,5.668707734,66.824,0,54.3,95.35256256,29.23186766,54.44165602,-1.115581155,1.746536801,136503206,0,-1.044749141,52.6,0,-1.151943922,0,27.6578849,4.32,25.429,-0.551806808
Bangladesh,2004,40.6,0.269183472,0.985221684,0.689472336,14.654173,65108544250,5.23953291,469.1164584,0,0,0.199036,7.587536385,67.187,0,51.7,95.52997248,30.79929845,54.71398059,-1.360476375,1.661191643,138789725,0,-1.175912261,52,0,-1.122482061,0,26.85823415,4.294,26.114,-0.672145784
Bangladesh,2005,44.2,0.282248733,2.926829338,1.170651671,14.62960052,69476001430,6.535944939,493.0432506,33.2,0,0.241637,7.046618162,67.299,0,49.3,95.70895752,32.44318376,54.6647871,-1.863839388,1.517975111,140912590,24,-1.081751704,50.6,0,-0.978551865,99.95349884,34.39693486,4.25,26.809,-0.569969237
Bangladesh,2006,50.5,0.299803341,2.926829338,0.635863904,14.60502804,71795735672,6.671904986,503.3746345,0,0,1,6.765261171,67.241,0,47,95.88471178,34.08752509,53.19754595,-1.507097363,1.210589941,142628831,0,-1.005542517,48.6,0,-0.907564044,99.97512054,38.11192443,3.591,27.517,-0.451236516
Bangladesh,2007,46.5,0.313589393,13.5922327,0.817756923,14.58045556,79611644984,7.058599354,552.337247,0,0,1.8,9.106984969,66.714,46.66360092,44.8,96.05709845,35.73090119,50.07523823,-1.543071628,1.051117194,144135934,0,-0.953167856,47.2,0,-0.827155948,98.18898773,39.94238265,4.045,28.237,-0.573499918
Bangladesh,2008,54.3,0.347517136,15.04854393,1.449657915,14.55588308,91636997445,6.013789757,630.1483077,0,0.43548046,2.5,8.901944895,67.051,0,42.7,96.2259786,37.37191663,46.43595425,-1.508331299,0.887833017,145421318,0,-0.91451782,45.2,0,-0.752373576,95.1065979,42.62091403,4.516,28.968,-0.442116976
Bangladesh,2009,57.1,0.366237941,14.83253574,0.87951714,14.53130983,102475000000,5.045124799,698.5030788,0,0.305861222,3.1,5.423472362,67.403,0,40.7,96.39123318,39.00921249,43.4177843,-1.546771407,0.880093476,146706810,0,-0.866342843,43.1,0,-0.784571469,97.62580109,40.09279622,5,29.709,-0.289043039
Bangladesh,2010,55.3,0.401305633,14.76190472,1.068967656,14.50673734,115276000000,5.571788185,776.835744,32.1,0.21302152,3.7,8.126676392,68.638,0,38.9,96.55282537,40.64186732,42.1588187,-1.425789475,1.141551337,148391139,18.2,-0.85759306,40.3,0,-0.801013291,99.73534806,37.80284267,3.379,30.462,-0.268090695
Bangladesh,2011,59.6,0.422064282,13.74407578,0.983399359,14.4991442,128607000000,6.464379125,856.1788328,0,0.194923395,4.5,11.39516516,68.809,59,37.2,96.71059726,42.2683391,52.29511106,-1.404736876,1.218938691,150211005,0,-0.81707859,38.4,0,-0.733335555,0,47.42084984,3.73,31.225,-0.31506893
Bangladesh,2012,65.5,0.447700108,20.85308075,1.188503924,14.49155105,133311000000,6.521458779,876.5216529,0,0.463362853,5,6.217504221,69.554,58,35.6,96.86438458,43.88689272,65.16383893,-1.379088998,1.243571246,152090649,0,-0.959472537,37.3,0,-0.936167359,0,48.11092275,4.075,31.993,-0.401940674
Bangladesh,2013,61.5,0.46656778,21.32701492,1.735320126,14.4839579,149999000000,6.013605658,973.8286176,0,0.29908859,6.63,7.530406409,69.565,61,34.1,97.01406183,45.49616346,64.3758949,-1.627858877,1.267157297,154030139,0,-0.923936903,37,0,-0.871759772,0,46.29640272,4.426,32.762,-0.405386388
